artist,hottness
Veedel Kaztro,0.539736
Prong,0.642489
Vengeance,0.498484
Каста,0.5632
Pzychobitch,0.49524
Abominable Putridity,0.559925
Menahan Street Band,0.595096
Twisted Sister,0.643338
Busta Rhymes,0.654351
David Nevue,0.569941
Shwayze,0.588166
Twelve Foot Ninja,0.575792
Niagara,0.562268
Tulipa Ruiz,0.58651
The Pretty Things,0.575339
Coven,0.515105
Pierpoljak,0.535401
Surfer Blood,0.606931
Wheatus,0.596104
Gerry Rafferty,0.600841
Say Anything,0.616815
The Head and the Heart,0.683335
Midnight Odyssey,0.466005
Juan Gabriel,0.792464
Connie Francis,0.591131
The Mission,0.587631
Raz  Dwa  Trzy,0.551375
Carbon Based Lifeforms,0.612743
The Sunshine Underground,0.565035
Temple of the Dog,0.609796
Bass Drum of Death,0.600941
October Tide,0.556919
The Boomtown Rats,0.584667
Miles Davis,0.776944
Lake of Tears,0.569489
L7,0.593747
Richie Sambora,0.593898
Studio Apartment,0.506823
Mortem,0.45824
XXYYXX,0.595534
Cirrus Bay,0.376338
Catharsis,0.546048
Kodaline,0.868458
Shams,0.448569
Fennesz,0.571575
Ghost Brigade,0.590821
Pearl Jam,0.793202
Yoko Ono,0.601474
Coheed and Cambria,0.634814
Ravi Shankar,0.730148
Discharge,0.569152
Donkeyboy,0.664087
Sarah Brightman,0.63216
Crosby  Stills  Nash & Young,0.640182
Joseph Arthur,0.577879
French Montana,0.754056
No Words,0.29069
Deicide,0.603137
Gorguts,0.539766
Curt Cress,0.38415
Cazuza,0.630673
田村ゆかり,0.66248
Gang of Four,0.605734
Theory of a Deadman,0.769317
Kasabian,0.729495
Чёрный Лукич,0.419599
Chicago,0.680469
Acid Witch,0.555046
The Rakes,0.548694
Steve Lukather,0.628138
Pereza,0.586399
Bonded By Blood,0.4922
Urchin,0.391531
Hamilton,0.598507
Acid Black Cherry,0.700996
Tricky,0.651994
Nuno Bettencourt,0.499089
Dr. Buzzard's Original Savannah Band,0.514648
Baby Animals,0.498324
Zebrahead,0.607491
The Devin Townsend Band,0.552655
Helstar,0.504112
Fu Manchu,0.609
Blazon Stone,0.35873
Keith Jarrett,0.613781
U.D.R.,0.467804
ムック,0.545475
The Guess Who,0.723809
Donovan,0.60718
Rosenstolz,0.575623
Sondre Lerche,0.624327
Muro,0.474016
Carmen McRae,0.580165
Demonical,0.487109
Nina Hagen,0.583219
Ron Pope,0.622229
Disfiguring the Goddess,0.563966
Skye,0.565508
Beyond Creation,0.518496
Zbigniew Preisner,0.588672
Hank Williams,0.637492
Stanley Kubrick,0.287405
Ella Fitzgerald,0.659014
The Earphone Heads,0.295776
Tracer,0.487975
Ray Parker Jr.,0.593366
Kylie Minogue,0.800688
Jasper Mook,0.492463
múm,0.618981
Vitalic,0.610059
Art of Noise,0.585973
Cary Brothers,0.598594
Dödsvarg,0.454255
Airbag,0.509107
Cancer,0.504846
In Legend,0.511175
Bebel Gilberto,0.602193
Deep Time,0.493995
I Fight Dragons,0.597084
Diamond Plate,0.447828
Ляпис Трубецкой,0.58667
אביב גפן,0.460092
Unleashed,0.588244
Attaque 77,0.570457
Suffocation,0.604052
Device,0.606938
Mastodon,0.634717
Minnie's,0.463571
Frijid Pink,0.517643
Aselin Debison,0.480114
God Help the Girl,0.582522
The Beautiful South,0.60348
Tangerine Dream,0.593
Ian Anderson,0.558376
Deichkind,0.835561
Average White Band,0.574076
Gorefest,0.505749
Austra,0.615194
Serj Tankian,0.636476
"Weird Al" Yankovic,0.652024
The Baseballs,0.547098
Autoramas,0.50424
Bobby Helms,0.543138
Axel Rudi Pell,0.58982
Hacktivist,0.584096
Le Baron,0.563036
Bebo Valdés,0.538999
Cults,0.627562
Michael Jackson,0.836779
John Mayer Trio,0.573914
Julian's Treatment,0.421085
Within Temptation,0.751266
Comedian Harmonists,0.515153
Minas Morgul,0.462144
Foo Fighters,0.86038
Submotion Orchestra,0.602721
Otep,0.626066
Christopher Owens,0.580416
Il Volo,0.81319
Steel Pulse,0.617591
Piotr Rogucki,0.584205
Fast Animals and slow kids,0.548068
Assalti Frontali,0.513222
Sophie B. Hawkins,0.612948
Tom Odell,0.836865
Black Sabbath,0.790181
Corey Hart,0.564156
The Veronicas,0.789921
Ricchi e poveri,0.562988
Rain Tree Crow,0.485854
Traumprinz,0.452905
Sérgio Godinho,0.514206
Duff McKagan's Loaded,0.55895
Donald Byrd,0.523051
Emil Bulls,0.59439
Timoria,0.508239
Anthrax,0.666451
Agalloch,0.610056
Live,0.545161
Fismoll,0.57806
When In Rome,0.566313
The Moody Blues,0.639141
The Trashmen,0.567732
Borah Bergman,0.346584
Juno Reactor,0.607077
Deathhammer,0.469188
Enrique Iglesias,0.918108
The Calm Blue Sea,0.510711
Whiplash,0.510703
Jane Air,0.462065
Skyroad,0.268079
Lisa Stansfield,0.605145
The Chemical Brothers,0.686749
Maria Zerfall,0.38981
Reverence,0.437837
CHVRCHES,0.799728
People Under the Stairs,0.578676
Hardwell,0.880076
Flower Travellin' Band,0.514819
Evadne,0.430334
Rea Garvey,0.764288
The Isley Brothers,0.646239
Jane Birkin,0.576288
Cher,0.671567
Tommy James & The Shondells,0.584066
Black Trip,0.480884
Widowspeak,0.593123
Crosby  Stills & Nash,0.595783
Sin Bandera,0.590328
Mondstille,0.397974
Abel Korzeniowski,0.594859
Pat Benatar,0.602314
Santana,0.716171
Black Country Communion,0.511829
Michael Aranda,0.409314
of Montreal,0.665701
Shabazz Palaces,0.609089
Wisdom,0.502996
Birdflesh,0.486685
Katzenjammer,0.738226
Lucho Bermúdez,0.505652
Wiz Khalifa,0.972331
PapaNegro,0.537627
Hinder,0.638574
Wednesday 13,0.559506
Pepper,0.578626
Yo-Yo Ma,0.637964
Saigon Kick,0.520102
Alice Caymmi,0.528813
Katie Melua,0.67384
Mortal Love,0.522775
Beto Guedes,0.519269
Arvo Pärt,0.609535
Panzerchrist,0.502444
IRA,0.70721
Brian Culbertson,0.596182
Israel Vibration,0.595412
Modern Life Is War,0.59138
Jon Hopkins,0.646497
The Easybeats,0.555932
Spandau Ballet,0.635601
Baden Powell,0.567025
Example,0.648469
Gloomball,0.49813
Bosnian Rainbows,0.56403
Eric Darius,0.540422
Khaled,0.685151
Exotic Animal Petting Zoo,0.456351
